X frequency: 1000000
2022-07-11 15:29:15.542723094 offset: 0.001194715 
2022-07-11 15:29:15.544106967 offset: 0.001195431 
2022-07-11 15:29:15.545348143 offset: 0.001383781 
2022-07-11 15:29:15.546655194 offset: 0.001241207 
2022-07-11 15:29:15.547966963 offset: 0.001307011 
2022-07-11 15:29:15.549307119 offset: 0.001311779 
2022-07-11 15:29:15.550620648 offset: 0.001340151 
2022-07-11 15:29:15.551840085 offset: 0.001313448 
2022-07-11 15:29:15.553061295 offset: 0.001219511 
2022-07-11 15:29:15.554201845 offset: 0.001221180 
2022-07-11 15:29:15.555428023 offset: 0.001140594 
2022-07-11 15:29:15.556827188 offset: 0.001226187 
2022-07-11 15:29:15.558138908 offset: 0.001399279 
2022-07-11 15:29:15.559459026 offset: 0.001311541 
2022-07-11 15:29:15.560785483 offset: 0.001320124 
2022-07-11 15:29:15.562085904 offset: 0.001326561 
2022-07-11 15:29:15.563410469 offset: 0.001300335 
2022-07-11 15:29:15.564712703 offset: 0.001324654 
2022-07-11 15:29:15.565826687 offset: 0.001302242 
2022-07-11 15:29:15.566986027 offset: 0.001113892 
2022-07-11 15:29:15.568271878 offset: 0.001159430 
2022-07-11 15:29:15.569619874 offset: 0.001285791 
2022-07-11 15:29:15.570960088 offset: 0.001348019 
2022-07-11 15:29:15.572271058 offset: 0.001340151 
2022-07-11 15:29:15.573600916 offset: 0.001311064 
2022-07-11 15:29:15.574747120 offset: 0.001329899 
2022-07-11 15:29:15.575916795 offset: 0.001146078 
2022-07-11 15:29:15.577096988 offset: 0.001169682 
2022-07-11 15:29:15.578418051 offset: 0.001180172 
2022-07-11 15:29:15.579533061 offset: 0.001321077 
2022-07-11 15:29:15.580866278 offset: 0.001115084 
2022-07-11 15:29:15.581972136 offset: 0.001333237 
2022-07-11 15:29:15.583289775 offset: 0.001105785 
2022-07-11 15:29:15.584583450 offset: 0.001317739 
2022-07-11 15:29:15.585895223 offset: 0.001293659 
2022-07-11 15:29:15.587189585 offset: 0.001311779 
2022-07-11 15:29:15.588601945 offset: 0.001294374 
2022-07-11 15:29:15.589911199 offset: 0.001412153 
2022-07-11 15:29:15.591232586 offset: 0.001309395 
2022-07-11 15:29:15.592583092 offset: 0.001321316 
2022-07-11 15:29:15.593928175 offset: 0.001350641 
2022-07-11 15:29:15.595520289 offset: 0.001344919 
2022-07-11 15:29:15.596820415 offset: 0.001592159 
2022-07-11 15:29:15.598512874 offset: 0.001300097 
2022-07-11 15:29:15.599917942 offset: 0.001692533 
2022-07-11 15:29:15.601606567 offset: 0.001405001 
2022-07-11 15:29:15.603510883 offset: 0.001688719 
2022-07-11 15:29:15.604852049 offset: 0.001904249 
2022-07-11 15:29:15.606173627 offset: 0.001341105 
2022-07-11 15:29:15.607925904 offset: 0.001321554 
2022-07-11 15:29:15.609325025 offset: 0.001752377 
2022-07-11 15:29:15.612192829 offset: 0.001399040 
2022-07-11 15:29:15.614067029 offset: 0.002867937 
2022-07-11 15:29:15.615633132 offset: 0.001874208 
2022-07-11 15:29:15.617021597 offset: 0.001566172 
2022-07-11 15:29:15.618342009 offset: 0.001388311 
2022-07-11 15:29:15.619620393 offset: 0.001320362 
2022-07-11 15:29:15.620969685 offset: 0.001278400 
2022-07-11 15:29:15.622338933 offset: 0.001349449 
2022-07-11 15:29:15.623677796 offset: 0.001369238 
2022-07-11 15:29:15.625023774 offset: 0.001338720 
2022-07-11 15:29:15.626317568 offset: 0.001346111 
2022-07-11 15:29:15.627683951 offset: 0.001293659 
2022-07-11 15:29:15.633067331 offset: 0.001366377 
2022-07-11 15:29:15.634668054 offset: 0.005383492 
2022-07-11 15:29:15.639412319 offset: 0.001600742 
2022-07-11 15:29:15.640727586 offset: 0.004744291 
2022-07-11 15:29:15.642144268 offset: 0.001315117 
2022-07-11 15:29:15.645049243 offset: 0.001416683 
2022-07-11 15:29:15.646505348 offset: 0.002905130 
2022-07-11 15:29:15.647830573 offset: 0.001456022 
2022-07-11 15:29:15.649169159 offset: 0.001325130 
2022-07-11 15:29:15.650481460 offset: 0.001338720 
2022-07-11 15:29:15.651859853 offset: 0.001312256 
2022-07-11 15:29:15.653174891 offset: 0.001378298 
2022-07-11 15:29:15.656080263 offset: 0.001315117 
2022-07-11 15:29:15.657476895 offset: 0.002905369 
2022-07-11 15:29:15.658781048 offset: 0.001396656 
2022-07-11 15:29:15.660125275 offset: 0.001304150 
